Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
01/01/2024 00:00;01/01/2024 00:15;1;kWh;-3235;3196;0;0;6431;-39
01/01/2024 00:15;01/01/2024 00:30;2;kWh;0;2927;0;0;2927;2927
01/01/2024 00:30;01/01/2024 00:45;3;kWh;0;1863;0;0;1863;1863
01/01/2024 00:45;01/01/2024 01:00;4;kWh;0;1892;0;0;1892;1892
01/01/2024 01:00;01/01/2024 01:15;5;kWh;0;12778;0;0;12778;12778
01/01/2024 01:15;01/01/2024 01:30;6;kWh;-210;7630;0;0;7840;7420
01/01/2024 01:30;01/01/2024 01:45;7;kWh;-395;3469;0;0;3864;3074
01/01/2024 01:45;01/01/2024 02:00;8;kWh;-1891;6194;0;0;8085;4303
01/01/2024 02:00;01/01/2024 02:15;9;kWh;-5079;12310;0;0;17389;7231
01/01/2024 02:15;01/01/2024 02:30;10;kWh;-4;6334;0;0;6338;6330
01/01/2024 02:30;01/01/2024 02:45;11;kWh;-319;0;0;0;319;-319
01/01/2024 02:45;01/01/2024 03:00;12;kWh;-350;9805;0;0;10155;9455
01/01/2024 03:00;01/01/2024 03:15;13;kWh;0;2214;0;0;2214;2214
01/01/2024 03:15;01/01/2024 03:30;14;kWh;0;192;0;0;192;192
01/01/2024 03:30;01/01/2024 03:45;15;kWh;-1109;0;0;0;1109;-1109
01/01/2024 03:45;01/01/2024 04:00;16;kWh;-5928;562;0;0;6490;-5366
01/01/2024 04:00;01/01/2024 04:15;17;kWh;-5987;2986;0;0;8973;-3001
01/01/2024 04:15;01/01/2024 04:30;18;kWh;0;0;0;0;0;0
01/01/2024 04:30;01/01/2024 04:45;19;kWh;-202;947;0;0;1149;745
01/01/2024 04:45;01/01/2024 05:00;20;kWh;-394;3;0;0;397;-391
01/01/2024 05:00;01/01/2024 05:15;21;kWh;-7;0;0;0;7;-7
01/01/2024 05:15;01/01/2024 05:30;22;kWh;-1435;0;0;0;1435;-1435
01/01/2024 05:30;01/01/2024 05:45;23;kWh;-909;0;0;0;909;-909
01/01/2024 05:45;01/01/2024 06:00;24;kWh;-707;0;0;0;707;-707
01/01/2024 06:00;01/01/2024 06:15;25;kWh;-610;659;0;0;1269;49
01/01/2024 06:15;01/01/2024 06:30;26;kWh;0;0;0;0;0;0
01/01/2024 06:30;01/01/2024 06:45;27;kWh;0;3648;0;0;3648;3648
01/01/2024 06:45;01/01/2024 07:00;28;kWh;0;15125;0;0;15125;15125
01/01/2024 07:00;01/01/2024 07:15;29;kWh;0;3012;0;0;3012;3012
01/01/2024 07:15;01/01/2024 07:30;30;kWh;-180;1097;0;0;1277;917
01/01/2024 07:30;01/01/2024 07:45;31;kWh;-780;0;0;0;780;-780
01/01/2024 07:45;01/01/2024 08:00;32;kWh;0;29;0;0;29;29
01/01/2024 08:00;01/01/2024 08:15;33;kWh;-12405;131;0;0;12536;-12274
01/01/2024 08:15;01/01/2024 08:30;34;kWh;-10799;0;0;0;10799;-10799
01/01/2024 08:30;01/01/2024 08:45;35;kWh;-6333;0;0;0;6333;-6333
01/01/2024 08:45;01/01/2024 09:00;36;kWh;-15875;0;0;0;15875;-15875
01/01/2024 09:00;01/01/2024 09:15;37;kWh;-5185;0;0;0;5185;-5185
01/01/2024 09:15;01/01/2024 09:30;38;kWh;0;0;0;0;0;0
01/01/2024 09:30;01/01/2024 09:45;39;kWh;-44;0;0;0;44;-44
01/01/2024 09:45;01/01/2024 10:00;40;kWh;-2897;0;0;0;2897;-2897
01/01/2024 10:00;01/01/2024 10:15;41;kWh;-470;0;0;0;470;-470
01/01/2024 10:15;01/01/2024 10:30;42;kWh;-206;0;0;0;206;-206
01/01/2024 10:30;01/01/2024 10:45;43;kWh;-1295;0;0;0;1295;-1295
01/01/2024 10:45;01/01/2024 11:00;44;kWh;-1289;0;0;0;1289;-1289
01/01/2024 11:00;01/01/2024 11:15;45;kWh;-110;0;0;0;110;-110
01/01/2024 11:15;01/01/2024 11:30;46;kWh;-880;0;0;0;880;-880
01/01/2024 11:30;01/01/2024 11:45;47;kWh;-2447;0;0;0;2447;-2447
01/01/2024 11:45;01/01/2024 12:00;48;kWh;-577;0;0;0;577;-577
01/01/2024 12:00;01/01/2024 12:15;49;kWh;-449;0;0;0;449;-449
01/01/2024 12:15;01/01/2024 12:30;50;kWh;0;0;0;0;0;0
01/01/2024 12:30;01/01/2024 12:45;51;kWh;0;0;0;0;0;0
01/01/2024 12:45;01/01/2024 13:00;52;kWh;0;0;0;0;0;0
01/01/2024 13:00;01/01/2024 13:15;53;kWh;0;0;0;0;0;0
01/01/2024 13:15;01/01/2024 13:30;54;kWh;-272;0;0;0;272;-272
01/01/2024 13:30;01/01/2024 13:45;55;kWh;-1503;4;0;0;1507;-1499
01/01/2024 13:45;01/01/2024 14:00;56;kWh;0;170;0;0;170;170
01/01/2024 14:00;01/01/2024 14:15;57;kWh;0;0;0;0;0;0
01/01/2024 14:15;01/01/2024 14:30;58;kWh;0;0;0;0;0;0
01/01/2024 14:30;01/01/2024 14:45;59;kWh;0;0;0;0;0;0
01/01/2024 14:45;01/01/2024 15:00;60;kWh;0;0;0;0;0;0
01/01/2024 15:00;01/01/2024 15:15;61;kWh;0;0;0;0;0;0
01/01/2024 15:15;01/01/2024 15:30;62;kWh;0;8566;0;0;8566;8566
01/01/2024 15:30;01/01/2024 15:45;63;kWh;0;25652;0;0;25652;25652
01/01/2024 15:45;01/01/2024 16:00;64;kWh;0;44977;0;0;44977;44977
01/01/2024 16:00;01/01/2024 16:15;65;kWh;-5471;2474;0;0;7945;-2997
01/01/2024 16:15;01/01/2024 16:30;66;kWh;-1411;704;0;0;2115;-707
01/01/2024 16:30;01/01/2024 16:45;67;kWh;0;1101;0;0;1101;1101
01/01/2024 16:45;01/01/2024 17:00;68;kWh;0;2747;0;0;2747;2747
01/01/2024 17:00;01/01/2024 17:15;69;kWh;0;667;0;0;667;667
01/01/2024 17:15;01/01/2024 17:30;70;kWh;0;8757;0;0;8757;8757
01/01/2024 17:30;01/01/2024 17:45;71;kWh;0;35318;0;0;35318;35318
01/01/2024 17:45;01/01/2024 18:00;72;kWh;-878;45778;0;0;46656;44900
01/01/2024 18:00;01/01/2024 18:15;73;kWh;-12158;2693;0;0;14851;-9465
01/01/2024 18:15;01/01/2024 18:30;74;kWh;-711;0;0;0;711;-711
01/01/2024 18:30;01/01/2024 18:45;75;kWh;-1;0;0;0;1;-1
01/01/2024 18:45;01/01/2024 19:00;76;kWh;-6204;2482;0;0;8686;-3722
01/01/2024 19:00;01/01/2024 19:15;77;kWh;-18904;1323;0;0;20227;-17581
01/01/2024 19:15;01/01/2024 19:30;78;kWh;-23890;0;0;0;23890;-23890
01/01/2024 19:30;01/01/2024 19:45;79;kWh;-4900;0;0;0;4900;-4900
01/01/2024 19:45;01/01/2024 20:00;80;kWh;-3683;2453;0;0;6136;-1230
01/01/2024 20:00;01/01/2024 20:15;81;kWh;0;48716;0;0;48716;48716
01/01/2024 20:15;01/01/2024 20:30;82;kWh;0;57839;0;0;57839;57839
01/01/2024 20:30;01/01/2024 20:45;83;kWh;0;1447;0;0;1447;1447
01/01/2024 20:45;01/01/2024 21:00;84;kWh;-4979;0;0;0;4979;-4979
01/01/2024 21:00;01/01/2024 21:15;85;kWh;-3198;0;0;0;3198;-3198
01/01/2024 21:15;01/01/2024 21:30;86;kWh;-10557;0;0;0;10557;-10557
01/01/2024 21:30;01/01/2024 21:45;87;kWh;-23338;297;0;0;23635;-23041
01/01/2024 21:45;01/01/2024 22:00;88;kWh;-23918;522;0;0;24440;-23396
01/01/2024 22:00;01/01/2024 22:15;89;kWh;-20896;0;0;0;20896;-20896
01/01/2024 22:15;01/01/2024 22:30;90;kWh;-24947;0;0;0;24947;-24947
01/01/2024 22:30;01/01/2024 22:45;91;kWh;-13295;0;0;0;13295;-13295
01/01/2024 22:45;01/01/2024 23:00;92;kWh;-20010;0;0;0;20010;-20010
01/01/2024 23:00;01/01/2024 23:15;93;kWh;-3029;0;0;0;3029;-3029
01/01/2024 23:15;01/01/2024 23:30;94;kWh;-12159;0;0;0;12159;-12159
01/01/2024 23:30;01/01/2024 23:45;95;kWh;-18862;0;0;0;18862;-18862
01/01/2024 23:45;02/01/2024 00:00;96;kWh;-33161;0;0;0;33161;-33161
02/01/2024 00:00;02/01/2024 00:15;1;kWh;-148168;0;0;0;148168;-148168
02/01/2024 00:15;02/01/2024 00:30;2;kWh;-164494;0;0;0;164494;-164494
02/01/2024 00:30;02/01/2024 00:45;3;kWh;-142584;0;0;0;142584;-142584
02/01/2024 00:45;02/01/2024 01:00;4;kWh;-186518;0;0;0;186518;-186518
02/01/2024 01:00;02/01/2024 01:15;5;kWh;-112627;0;0;0;112627;-112627
02/01/2024 01:15;02/01/2024 01:30;6;kWh;-117919;0;0;0;117919;-117919
02/01/2024 01:30;02/01/2024 01:45;7;kWh;-148210;0;0;0;148210;-148210
02/01/2024 01:45;02/01/2024 02:00;8;kWh;-158903;0;0;0;158903;-158903
02/01/2024 02:00;02/01/2024 02:15;9;kWh;-47210;0;0;0;47210;-47210
02/01/2024 02:15;02/01/2024 02:30;10;kWh;-78994;0;0;0;78994;-78994
02/01/2024 02:30;02/01/2024 02:45;11;kWh;-103715;0;0;0;103715;-103715
02/01/2024 02:45;02/01/2024 03:00;12;kWh;-99829;0;0;0;99829;-99829
02/01/2024 03:00;02/01/2024 03:15;13;kWh;-74087;0;0;0;74087;-74087
02/01/2024 03:15;02/01/2024 03:30;14;kWh;-61855;0;0;0;61855;-61855
02/01/2024 03:30;02/01/2024 03:45;15;kWh;-66567;0;0;0;66567;-66567
02/01/2024 03:45;02/01/2024 04:00;16;kWh;-81145;0;0;0;81145;-81145
02/01/2024 04:00;02/01/2024 04:15;17;kWh;-56768;0;0;0;56768;-56768
02/01/2024 04:15;02/01/2024 04:30;18;kWh;-71103;0;0;0;71103;-71103
02/01/2024 04:30;02/01/2024 04:45;19;kWh;-51449;0;0;0;51449;-51449
02/01/2024 04:45;02/01/2024 05:00;20;kWh;-46201;0;0;0;46201;-46201
02/01/2024 05:00;02/01/2024 05:15;21;kWh;-44124;0;0;0;44124;-44124
02/01/2024 05:15;02/01/2024 05:30;22;kWh;-16897;0;0;0;16897;-16897
02/01/2024 05:30;02/01/2024 05:45;23;kWh;-36;0;0;0;36;-36
02/01/2024 05:45;02/01/2024 06:00;24;kWh;-51033;0;0;0;51033;-51033
02/01/2024 06:00;02/01/2024 06:15;25;kWh;-163153;0;0;0;163153;-163153
02/01/2024 06:15;02/01/2024 06:30;26;kWh;-102176;0;0;0;102176;-102176
02/01/2024 06:30;02/01/2024 06:45;27;kWh;-57461;0;0;0;57461;-57461
02/01/2024 06:45;02/01/2024 07:00;28;kWh;-44900;0;0;0;44900;-44900
02/01/2024 07:00;02/01/2024 07:15;29;kWh;-96418;0;0;0;96418;-96418
02/01/2024 07:15;02/01/2024 07:30;30;kWh;-60074;0;0;0;60074;-60074
02/01/2024 07:30;02/01/2024 07:45;31;kWh;-48057;0;0;0;48057;-48057
02/01/2024 07:45;02/01/2024 08:00;32;kWh;-17315;0;0;0;17315;-17315
02/01/2024 08:00;02/01/2024 08:15;33;kWh;-35891;0;0;0;35891;-35891
02/01/2024 08:15;02/01/2024 08:30;34;kWh;-18335;0;0;0;18335;-18335
02/01/2024 08:30;02/01/2024 08:45;35;kWh;-17042;0;0;0;17042;-17042
02/01/2024 08:45;02/01/2024 09:00;36;kWh;-7390;0;0;0;7390;-7390
02/01/2024 09:00;02/01/2024 09:15;37;kWh;-1558;0;0;0;1558;-1558
02/01/2024 09:15;02/01/2024 09:30;38;kWh;-472;0;0;0;472;-472
02/01/2024 09:30;02/01/2024 09:45;39;kWh;-34925;0;0;0;34925;-34925
02/01/2024 09:45;02/01/2024 10:00;40;kWh;-54744;0;0;0;54744;-54744
02/01/2024 10:00;02/01/2024 10:15;41;kWh;-21603;0;0;0;21603;-21603
02/01/2024 10:15;02/01/2024 10:30;42;kWh;-20322;0;0;0;20322;-20322
02/01/2024 10:30;02/01/2024 10:45;43;kWh;-17070;0;0;0;17070;-17070
02/01/2024 10:45;02/01/2024 11:00;44;kWh;-11103;0;0;0;11103;-11103
02/01/2024 11:00;02/01/2024 11:15;45;kWh;-870;0;0;0;870;-870
02/01/2024 11:15;02/01/2024 11:30;46;kWh;0;342;0;0;342;342
02/01/2024 11:30;02/01/2024 11:45;47;kWh;0;1453;0;0;1453;1453
02/01/2024 11:45;02/01/2024 12:00;48;kWh;0;0;0;0;0;0
02/01/2024 12:00;02/01/2024 12:15;49;kWh;0;0;0;0;0;0
02/01/2024 12:15;02/01/2024 12:30;50;kWh;0;0;0;0;0;0
02/01/2024 12:30;02/01/2024 12:45;51;kWh;0;0;0;0;0;0
02/01/2024 12:45;02/01/2024 13:00;52;kWh;0;0;0;0;0;0
02/01/2024 13:00;02/01/2024 13:15;53;kWh;0;35362;0;0;35362;35362
02/01/2024 13:15;02/01/2024 13:30;54;kWh;0;50206;0;0;50206;50206
02/01/2024 13:30;02/01/2024 13:45;55;kWh;0;33882;0;0;33882;33882
02/01/2024 13:45;02/01/2024 14:00;56;kWh;0;4666;0;0;4666;4666
02/01/2024 14:00;02/01/2024 14:15;57;kWh;0;0;0;0;0;0
02/01/2024 14:15;02/01/2024 14:30;58;kWh;0;0;0;0;0;0
02/01/2024 14:30;02/01/2024 14:45;59;kWh;0;0;0;0;0;0
02/01/2024 14:45;02/01/2024 15:00;60;kWh;-750;0;0;0;750;-750
02/01/2024 15:00;02/01/2024 15:15;61;kWh;-16528;0;0;0;16528;-16528
02/01/2024 15:15;02/01/2024 15:30;62;kWh;-2;0;0;0;2;-2
02/01/2024 15:30;02/01/2024 15:45;63;kWh;0;0;0;0;0;0
02/01/2024 15:45;02/01/2024 16:00;64;kWh;-2907;0;0;0;2907;-2907
02/01/2024 16:00;02/01/2024 16:15;65;kWh;-25644;0;0;0;25644;-25644
02/01/2024 16:15;02/01/2024 16:30;66;kWh;-12207;0;0;0;12207;-12207
02/01/2024 16:30;02/01/2024 16:45;67;kWh;-3903;0;0;0;3903;-3903
02/01/2024 16:45;02/01/2024 17:00;68;kWh;-4425;0;0;0;4425;-4425
02/01/2024 17:00;02/01/2024 17:15;69;kWh;-16928;6;0;0;16934;-16922
02/01/2024 17:15;02/01/2024 17:30;70;kWh;0;5443;0;0;5443;5443
02/01/2024 17:30;02/01/2024 17:45;71;kWh;-705;0;0;0;705;-705
02/01/2024 17:45;02/01/2024 18:00;72;kWh;-1767;0;0;0;1767;-1767
02/01/2024 18:00;02/01/2024 18:15;73;kWh;-10904;0;0;0;10904;-10904
02/01/2024 18:15;02/01/2024 18:30;74;kWh;-1825;0;0;0;1825;-1825
02/01/2024 18:30;02/01/2024 18:45;75;kWh;-10994;0;0;0;10994;-10994
02/01/2024 18:45;02/01/2024 19:00;76;kWh;-1730;0;0;0;1730;-1730
02/01/2024 19:00;02/01/2024 19:15;77;kWh;-147;0;0;0;147;-147
02/01/2024 19:15;02/01/2024 19:30;78;kWh;-499;0;0;0;499;-499
02/01/2024 19:30;02/01/2024 19:45;79;kWh;-5352;0;0;0;5352;-5352
02/01/2024 19:45;02/01/2024 20:00;80;kWh;-5678;2193;0;0;7871;-3485
02/01/2024 20:00;02/01/2024 20:15;81;kWh;0;60001;0;0;60001;60001
02/01/2024 20:15;02/01/2024 20:30;82;kWh;-1578;9544;0;0;11122;7966
02/01/2024 20:30;02/01/2024 20:45;83;kWh;-4896;2334;0;0;7230;-2562
02/01/2024 20:45;02/01/2024 21:00;84;kWh;-17932;0;0;0;17932;-17932
02/01/2024 21:00;02/01/2024 21:15;85;kWh;-5475;0;0;0;5475;-5475
02/01/2024 21:15;02/01/2024 21:30;86;kWh;-2216;0;0;0;2216;-2216
02/01/2024 21:30;02/01/2024 21:45;87;kWh;-13414;0;0;0;13414;-13414
02/01/2024 21:45;02/01/2024 22:00;88;kWh;0;3262;0;0;3262;3262
02/01/2024 22:00;02/01/2024 22:15;89;kWh;0;57752;0;0;57752;57752
02/01/2024 22:15;02/01/2024 22:30;90;kWh;-1115;1345;0;0;2460;230
02/01/2024 22:30;02/01/2024 22:45;91;kWh;-4202;0;0;0;4202;-4202
02/01/2024 22:45;02/01/2024 23:00;92;kWh;-893;2537;0;0;3430;1644
02/01/2024 23:00;02/01/2024 23:15;93;kWh;0;44917;0;0;44917;44917
02/01/2024 23:15;02/01/2024 23:30;94;kWh;0;23189;0;0;23189;23189
02/01/2024 23:30;02/01/2024 23:45;95;kWh;0;0;0;0;0;0
02/01/2024 23:45;03/01/2024 00:00;96;kWh;-4040;0;0;0;4040;-4040
03/01/2024 00:00;03/01/2024 00:15;1;kWh;-5332;56101;0;0;61433;50769
03/01/2024 00:15;03/01/2024 00:30;2;kWh;-655;36156;0;0;36811;35501
03/01/2024 00:30;03/01/2024 00:45;3;kWh;-27;21534;0;0;21561;21507
03/01/2024 00:45;03/01/2024 01:00;4;kWh;0;27127;0;0;27127;27127
03/01/2024 01:00;03/01/2024 01:15;5;kWh;0;60158;0;0;60158;60158
03/01/2024 01:15;03/01/2024 01:30;6;kWh;0;23077;0;0;23077;23077
03/01/2024 01:30;03/01/2024 01:45;7;kWh;0;15655;0;0;15655;15655
03/01/2024 01:45;03/01/2024 02:00;8;kWh;-1947;965;0;0;2912;-982
03/01/2024 02:00;03/01/2024 02:15;9;kWh;0;9445;0;0;9445;9445
03/01/2024 02:15;03/01/2024 02:30;10;kWh;-709;2060;0;0;2769;1351
03/01/2024 02:30;03/01/2024 02:45;11;kWh;-9002;1841;0;0;10843;-7161
03/01/2024 02:45;03/01/2024 03:00;12;kWh;-13761;8136;0;0;21897;-5625
03/01/2024 03:00;03/01/2024 03:15;13;kWh;-12921;1591;0;0;14512;-11330
03/01/2024 03:15;03/01/2024 03:30;14;kWh;-19904;0;0;0;19904;-19904
03/01/2024 03:30;03/01/2024 03:45;15;kWh;-16702;0;0;0;16702;-16702
03/01/2024 03:45;03/01/2024 04:00;16;kWh;-3832;0;0;0;3832;-3832
03/01/2024 04:00;03/01/2024 04:15;17;kWh;-6205;0;0;0;6205;-6205
03/01/2024 04:15;03/01/2024 04:30;18;kWh;-6427;0;0;0;6427;-6427
03/01/2024 04:30;03/01/2024 04:45;19;kWh;-8068;0;0;0;8068;-8068
03/01/2024 04:45;03/01/2024 05:00;20;kWh;-9089;0;0;0;9089;-9089
03/01/2024 05:00;03/01/2024 05:15;21;kWh;-10714;0;0;0;10714;-10714
03/01/2024 05:15;03/01/2024 05:30;22;kWh;-9378;0;0;0;9378;-9378
03/01/2024 05:30;03/01/2024 05:45;23;kWh;-1646;1519;0;0;3165;-127
03/01/2024 05:45;03/01/2024 06:00;24;kWh;-4425;1977;0;0;6402;-2448
03/01/2024 06:00;03/01/2024 06:15;25;kWh;-25018;540;0;0;25558;-24478
03/01/2024 06:15;03/01/2024 06:30;26;kWh;-3373;0;0;0;3373;-3373
03/01/2024 06:30;03/01/2024 06:45;27;kWh;-282;0;0;0;282;-282
03/01/2024 06:45;03/01/2024 07:00;28;kWh;0;0;0;0;0;0
03/01/2024 07:00;03/01/2024 07:15;29;kWh;-1135;0;0;0;1135;-1135
03/01/2024 07:15;03/01/2024 07:30;30;kWh;-2083;0;0;0;2083;-2083
03/01/2024 07:30;03/01/2024 07:45;31;kWh;-1587;1868;0;0;3455;281
03/01/2024 07:45;03/01/2024 08:00;32;kWh;-1109;244;0;0;1353;-865
03/01/2024 08:00;03/01/2024 08:15;33;kWh;-4252;377;0;0;4629;-3875
03/01/2024 08:15;03/01/2024 08:30;34;kWh;0;2012;0;0;2012;2012
03/01/2024 08:30;03/01/2024 08:45;35;kWh;0;0;0;0;0;0
03/01/2024 08:45;03/01/2024 09:00;36;kWh;-58;0;0;0;58;-58
03/01/2024 09:00;03/01/2024 09:15;37;kWh;-900;0;0;0;900;-900
03/01/2024 09:15;03/01/2024 09:30;38;kWh;-397;0;0;0;397;-397
03/01/2024 09:30;03/01/2024 09:45;39;kWh;-2609;0;0;0;2609;-2609
03/01/2024 09:45;03/01/2024 10:00;40;kWh;-7361;1147;0;0;8508;-6214
03/01/2024 10:00;03/01/2024 10:15;41;kWh;-4690;704;0;0;5394;-3986
03/01/2024 10:15;03/01/2024 10:30;42;kWh;-5933;753;0;0;6686;-5180
03/01/2024 10:30;03/01/2024 10:45;43;kWh;-7336;3;0;0;7339;-7333
03/01/2024 10:45;03/01/2024 11:00;44;kWh;-2519;0;0;0;2519;-2519
03/01/2024 11:00;03/01/2024 11:15;45;kWh;-1244;0;0;0;1244;-1244
03/01/2024 11:15;03/01/2024 11:30;46;kWh;0;1040;0;0;1040;1040
03/01/2024 11:30;03/01/2024 11:45;47;kWh;0;27;0;0;27;27
03/01/2024 11:45;03/01/2024 12:00;48;kWh;0;1610;0;0;1610;1610
03/01/2024 12:00;03/01/2024 12:15;49;kWh;0;1997;0;0;1997;1997
03/01/2024 12:15;03/01/2024 12:30;50;kWh;0;0;0;0;0;0
03/01/2024 12:30;03/01/2024 12:45;51;kWh;-2812;0;0;0;2812;-2812
03/01/2024 12:45;03/01/2024 13:00;52;kWh;-9971;503;0;0;10474;-9468
03/01/2024 13:00;03/01/2024 13:15;53;kWh;-12739;0;0;0;12739;-12739
03/01/2024 13:15;03/01/2024 13:30;54;kWh;-17758;0;0;0;17758;-17758
03/01/2024 13:30;03/01/2024 13:45;55;kWh;-21338;41;0;0;21379;-21297
03/01/2024 13:45;03/01/2024 14:00;56;kWh;-1859;199;0;0;2058;-1660
03/01/2024 14:00;03/01/2024 14:15;57;kWh;-7518;1349;0;0;8867;-6169
03/01/2024 14:15;03/01/2024 14:30;58;kWh;-925;137;0;0;1062;-788
03/01/2024 14:30;03/01/2024 14:45;59;kWh;-489;65;0;0;554;-424
03/01/2024 14:45;03/01/2024 15:00;60;kWh;0;38790;0;0;38790;38790
03/01/2024 15:00;03/01/2024 15:15;61;kWh;-725;3409;0;0;4134;2684
03/01/2024 15:15;03/01/2024 15:30;62;kWh;-2160;0;0;0;2160;-2160
03/01/2024 15:30;03/01/2024 15:45;63;kWh;0;0;0;0;0;0
03/01/2024 15:45;03/01/2024 16:00;64;kWh;0;3849;0;0;3849;3849
03/01/2024 16:00;03/01/2024 16:15;65;kWh;-16882;1719;0;0;18601;-15163
03/01/2024 16:15;03/01/2024 16:30;66;kWh;-16930;292;0;0;17222;-16638
03/01/2024 16:30;03/01/2024 16:45;67;kWh;-3553;298;0;0;3851;-3255
03/01/2024 16:45;03/01/2024 17:00;68;kWh;0;10333;0;0;10333;10333
03/01/2024 17:00;03/01/2024 17:15;69;kWh;-3058;7147;0;0;10205;4089
03/01/2024 17:15;03/01/2024 17:30;70;kWh;-2;2199;0;0;2201;2197
03/01/2024 17:30;03/01/2024 17:45;71;kWh;0;52151;0;0;52151;52151
03/01/2024 17:45;03/01/2024 18:00;72;kWh;0;33479;0;0;33479;33479
03/01/2024 18:00;03/01/2024 18:15;73;kWh;0;6546;0;0;6546;6546
03/01/2024 18:15;03/01/2024 18:30;74;kWh;0;4577;0;0;4577;4577
03/01/2024 18:30;03/01/2024 18:45;75;kWh;0;2390;0;0;2390;2390
03/01/2024 18:45;03/01/2024 19:00;76;kWh;0;0;0;0;0;0
03/01/2024 19:00;03/01/2024 19:15;77;kWh;-495;0;0;0;495;-495
03/01/2024 19:15;03/01/2024 19:30;78;kWh;-1593;0;0;0;1593;-1593
03/01/2024 19:30;03/01/2024 19:45;79;kWh;-1298;0;0;0;1298;-1298
03/01/2024 19:45;03/01/2024 20:00;80;kWh;-481;0;0;0;481;-481
03/01/2024 20:00;03/01/2024 20:15;81;kWh;0;179;0;0;179;179
03/01/2024 20:15;03/01/2024 20:30;82;kWh;0;8303;0;0;8303;8303
03/01/2024 20:30;03/01/2024 20:45;83;kWh;0;1286;0;0;1286;1286
03/01/2024 20:45;03/01/2024 21:00;84;kWh;-375;0;0;0;375;-375
03/01/2024 21:00;03/01/2024 21:15;85;kWh;-3038;0;0;0;3038;-3038
03/01/2024 21:15;03/01/2024 21:30;86;kWh;0;9271;0;0;9271;9271
03/01/2024 21:30;03/01/2024 21:45;87;kWh;0;8828;0;0;8828;8828
03/01/2024 21:45;03/01/2024 22:00;88;kWh;0;2336;0;0;2336;2336
03/01/2024 22:00;03/01/2024 22:15;89;kWh;0;19325;0;0;19325;19325
03/01/2024 22:15;03/01/2024 22:30;90;kWh;0;22595;0;0;22595;22595
03/01/2024 22:30;03/01/2024 22:45;91;kWh;0;7;0;0;7;7
03/01/2024 22:45;03/01/2024 23:00;92;kWh;-148;0;0;0;148;-148
03/01/2024 23:00;03/01/2024 23:15;93;kWh;-5576;893;0;0;6469;-4683
03/01/2024 23:15;03/01/2024 23:30;94;kWh;-475;1603;0;0;2078;1128
03/01/2024 23:30;03/01/2024 23:45;95;kWh;0;1184;0;0;1184;1184
03/01/2024 23:45;04/01/2024 00:00;96;kWh;0;0;0;0;0;0
04/01/2024 00:00;04/01/2024 00:15;1;kWh;-29;0;0;0;29;-29
04/01/2024 00:15;04/01/2024 00:30;2;kWh;-817;0;0;0;817;-817
04/01/2024 00:30;04/01/2024 00:45;3;kWh;-7720;0;0;0;7720;-7720
04/01/2024 00:45;04/01/2024 01:00;4;kWh;-26349;0;0;0;26349;-26349
04/01/2024 01:00;04/01/2024 01:15;5;kWh;-11013;0;0;0;11013;-11013
04/01/2024 01:15;04/01/2024 01:30;6;kWh;-10077;0;0;0;10077;-10077
04/01/2024 01:30;04/01/2024 01:45;7;kWh;-16331;0;0;0;16331;-16331
04/01/2024 01:45;04/01/2024 02:00;8;kWh;-19908;0;0;0;19908;-19908
04/01/2024 02:00;04/01/2024 02:15;9;kWh;-19849;0;0;0;19849;-19849
04/01/2024 02:15;04/01/2024 02:30;10;kWh;-11248;0;0;0;11248;-11248
04/01/2024 02:30;04/01/2024 02:45;11;kWh;-10708;0;0;0;10708;-10708
04/01/2024 02:45;04/01/2024 03:00;12;kWh;-8471;0;0;0;8471;-8471
04/01/2024 03:00;04/01/2024 03:15;13;kWh;-2071;0;0;0;2071;-2071
04/01/2024 03:15;04/01/2024 03:30;14;kWh;-16473;0;0;0;16473;-16473
04/01/2024 03:30;04/01/2024 03:45;15;kWh;-8058;0;0;0;8058;-8058
04/01/2024 03:45;04/01/2024 04:00;16;kWh;0;0;0;0;0;0
04/01/2024 04:00;04/01/2024 04:15;17;kWh;0;0;0;0;0;0
04/01/2024 04:15;04/01/2024 04:30;18;kWh;0;0;0;0;0;0
